Date,BCOM,SILVER,OIL,PLATINUM,PALLADIUM,GOLD
26/04/2011,173.7013,44.9,355.84,178.7676,74.78,146.38
27/04/2011,173.095,47.91,360.16,181.42,76.28,149.2
28/04/2011,173.0189,48.2,358.64,182.94,77.08,149.82
29/04/2011,175.4211,47.76,361.2,185.87,78.95,152.37
02/05/2011,174.1929,43.64,359.44,184.5,76.71,150.414
03/05/2011,172.1911,41.37,352.64,183.94,76.89,149.88
04/05/2011,168.9085,39.05,346.08,180.868,74.18,147.73
05/05/2011,161.0196,34.4,314.56,174.4,70.16,143.47
06/05/2011,159.5043,35.13,310.96,176.66,70.93,145.3
09/05/2011,162.5688,37.75,326.96,178.1,72.52,147.38
10/05/2011,164.6022,38.26,328.64,178.68,72.72,147.9
11/05/2011,159.6569,35.09,314.8,176.02,71.44,146.54
12/05/2011,159.8745,33.94,314.24,175.56,70.5,146.59
13/05/2011,159.8395,35.09,315.52,174.8789,70.47,145.63
16/05/2011,159.2235,33.48,308.08,174.93,70.78,145.37
17/05/2011,158.9118,33.76,308.4,175.2,71.56,144.74
18/05/2011,162.8795,34.89,316,175.57,72.91,145.6
19/05/2011,160.8559,34.92,312.56,175.33,72.34,145.65
20/05/2011,162.352,34.86,315.76,176.02,73.09,147.49
23/05/2011,160.7563,34.93,307.76,174.114,72.5,147.83
24/05/2011,161.4934,36.48,314.24,175.1,73.36,148.59
25/05/2011,163.814,37.64,319.44,176.65,74.37,148.58
26/05/2011,163.4876,37.24,316.8,175.86,75.07,148.22
27/05/2011,165.3465,37.74,317.68,178.58,75.35,149.7
31/05/2011,166.5416,38.3415,324,181.66,76.96,149.64
01/06/2011,164.9848,36.46,316.16,180.45,76.9,149.91
02/06/2011,165.6755,36,317.44,180.14,76.58,149.5
03/06/2011,165.8851,36.03,317.28,179.85,77.8,150.22
06/06/2011,164.694,36.44,312,179.6,78.18,150.48
07/06/2011,165.2596,36.85,312.4,181.71,80.275,150.42
08/06/2011,166.2306,36.74,318.8,180.9292,79.93,149.81
09/06/2011,166.7439,37.42,321.12,182.66,81.115,150.56
10/06/2011,165.6002,35.96,312.56,181.12,80.67,149.24
13/06/2011,163.6835,34.52,306.08,178.51,78.93,147.77
14/06/2011,164.2537,35.37,312.8,178.08,78.74,148.67
15/06/2011,161.3209,35.57,300.64,176.12,76.72,149.12
16/06/2011,159.892,35.3,299.36,174.1341,74.98,148.97
17/06/2011,158.9996,35.62,293.04,174.31,74.1,149.94
20/06/2011,158.9169,35.79,293.76,171.69,74.07,150.03
21/06/2011,160.1087,36.2,294.32,173.34,76.12,150.76
22/06/2011,159.5741,36.2,296.8,173.33,75.72,150.99
23/06/2011,155.9667,35.05,288.08,168.8932,74.17,148.339
24/06/2011,155.5094,34.04,286.48,167.1,72.53,146.26
27/06/2011,154.6622,33.27,285.12,166.12,72.18,145.73
28/06/2011,157.2128,33.62,291.36,167.94,73.21,146.24
29/06/2011,159.0262,34.65,297.84,171.45,74.65,147.18
30/06/2011,158.1349,34.52,297.92,171.13,75.5,146.001
01/07/2011,156.8665,33.66,297.2,170.43,75.1,144.93
05/07/2011,159.4334,35.33,303.68,172.4,76.86,147.63
06/07/2011,158.7266,35.78,303.12,170.86,75.86,148.91
07/07/2011,161.0916,36.22,308.88,173.07,77.99,149.15
08/07/2011,160.8306,36.45,302.4,172.079,77.05,150.25
11/07/2011,160.0007,35.61,298.32,171.17,76.14,151.59
12/07/2011,161.97,35.92,303.44,172.03,75.86,152.77
13/07/2011,164.6637,37.99,306.8,174.12,77.35,154.14
14/07/2011,163.3674,38.18,300.4,175.44,76.928,154.54
15/07/2011,164.5448,39.01,305.04,174.49,77.65,155.2
18/07/2011,164.044,40.24,300.72,175.94,78.87,156.57
19/07/2011,165.0227,38.78,306,175.54,78.15,154.66
20/07/2011,164.5288,39.88,307.2,175.9,78.91,156.02
21/07/2011,163.558,39.07,309.76,177.1,79.77,154.83
22/07/2011,165.2773,39.84,311.44,177.71,80.02,156.12
25/07/2011,164.5956,40.11,309.44,177.5,79.94,157.34
26/07/2011,165.8254,40.7,310.48,178.974,83.02,157.77
27/07/2011,165.0295,39.99,303.76,178.55,82.28,157.19
28/07/2011,164.0526,39.55,303.28,177.23,81.94,157.32
29/07/2011,162.8146,39.62,299.36,176.02,81.91,158.29
01/08/2011,162.4846,39.07,297.6,177.93,82.2,157.72
02/08/2011,163.4494,40.6,291.2,178.01,81.82,161.52
03/08/2011,161.8011,41.38,286.88,176.42,78.66,161.49
04/08/2011,157.2922,38.33,269.808,170.5,73.86,160.64
05/08/2011,156.1495,38.11,271.6,170.04,73.63,161.75
08/08/2011,153.0595,38.74,252.08,170.54,71.38,167.119
09/08/2011,152.8335,37.09,252.96,173.86,72.72,168.61
10/08/2011,154.7777,39.15,254.24,175.41,72.29,174.58
11/08/2011,157.2904,38.57,266.4,176.84,73.4599,170.75
12/08/2011,157.0312,38.9,265.84,178.2,73.98,169.97
15/08/2011,158.3941,39.44,273.76,179.12,74.29,171.8
16/08/2011,158.3815,39.79,270.64,180.2,74.99,173.92
17/08/2011,159.7031,40.12,272.08,181.885,76.9,174.42
18/08/2011,157.0895,40.48,253.76,182.78,74.78,177.72
19/08/2011,159.0033,42.5,256.96,185.7,73.78,179.95
22/08/2011,159.8813,43.48,261.76,189.11,75.68,184.59
23/08/2011,160.6887,41.48,267.36,184.66,75.46,177.67
24/08/2011,158.3737,39.63,264.64,180.22,74.31,171.646
25/08/2011,159.2828,40.82,263.76,180.4,74.04,172.36
26/08/2011,161.1418,41.24,265.2,181.33,75.3,177.47
29/08/2011,161.4124,40.54,271.68,180.94,74.68,173.89
30/08/2011,163.4335,41.23,275.52,183.98,76.84,179.1
31/08/2011,164.4327,41.25,276.08,182.75,77.43,177.72
01/09/2011,162.9113,41.34,275.76,183.4,77.91,177.87
02/09/2011,162.5149,42.98,269.12,186.36,77.14,183.238
06/09/2011,161.2232,41.88,268.72,183.81,74.36,182.9
07/09/2011,162.2705,41.37,277.52,180.38,74.512,177.08
08/09/2011,162.747,42.03,275.68,184.29,74.91,181.81
09/09/2011,160.6014,41.38,270.8,181.33,73.01,180.7
12/09/2011,159.733,39.98,275.36,179.15,69.96,176.67
13/09/2011,160.1931,40.69,278.8,179.75,71.79,178.54
14/09/2011,159.6802,40.42,274.72,179.58,71.15,177.21
15/09/2011,158.2791,39.6,276.8,177.13,71.91,174.4
16/09/2011,157.4798,40.19,273.12,179.06,72.22,176.03
19/09/2011,154.7106,39.48,266.32,175.94,70.71,173.31
20/09/2011,155.2538,39.6,267.44,176.18,70.76,175.78
21/09/2011,153.9961,39.315,263.36,175.04,68.53,173.59
22/09/2011,147.2093,35.66,249.04,167.05,63.92,169.05
23/09/2011,143.0863,30.57,248.72,158.85,62.255,159.8
26/09/2011,143.2628,30.32,251.76,153.57,62.21,157.58
27/09/2011,147.0767,31.79,258.96,154.8,64.01,160.63
28/09/2011,143.2329,29.41,250,150.71,61.61,156.22
29/09/2011,143.9562,30.55,255.76,151.52,61.32,157.7
30/09/2011,140.2016,29.52,243.92,150.32,60,158.06
03/10/2011,140.2979,30.04,237.92,148.23,57.91,160.96
